tempo;ad
12/12/2022 00:04;826
12/12/2022 00:09;823
12/12/2022 00:14;822
12/12/2022 00:19;820
12/12/2022 00:24;818
12/12/2022 00:29;818
12/12/2022 00:39;815
12/12/2022 00:44;814
12/12/2022 00:49;813
12/12/2022 00:53;812
12/12/2022 00:58;809
12/12/2022 01:03;807
12/12/2022 01:08;806
12/12/2022 01:13;805
12/12/2022 01:23;807
12/12/2022 01:28;807
12/12/2022 01:33;807
12/12/2022 01:38;806
12/12/2022 01:43;806
12/12/2022 01:48;803
12/12/2022 01:53;800
12/12/2022 01:58;798
12/12/2022 10:59;1019
12/12/2022 11:04;1007
12/12/2022 11:09;1001
12/12/2022 11:14;1003
12/12/2022 11:19;1006
12/12/2022 11:24;997
12/12/2022 11:29;1000
12/12/2022 11:34;1069
12/12/2022 11:39;1072
12/12/2022 11:44;1099
12/12/2022 11:49;1133
12/12/2022 11:59;1156
12/12/2022 12:04;1166
12/12/2022 12:09;1134
12/12/2022 12:14;1127
12/12/2022 12:19;1097
